"Index","PRGFX.Open","PRGFX.High","PRGFX.Low","PRGFX.Close","PRGFX.Volume","PRGFX.Adjusted"
2010-01-04,27.91,27.91,27.91,27.91,0,23.052312
2010-01-05,27.940001,27.940001,27.940001,27.940001,0,23.077091
2010-01-06,27.85,27.85,27.85,27.85,0,23.002755
2010-01-07,27.870001,27.870001,27.870001,27.870001,0,23.019274
2010-01-08,28.030001,28.030001,28.030001,28.030001,0,23.151427
2010-01-11,27.99,27.99,27.99,27.99,0,23.118388
2010-01-12,27.629999,27.629999,27.629999,27.629999,0,22.821045
2010-01-13,27.9,27.9,27.9,27.9,0,23.044052
2010-01-14,27.959999,27.959999,27.959999,27.959999,0,23.093609
2010-01-15,27.67,27.67,27.67,27.67,0,22.854083
2010-01-19,27.950001,27.950001,27.950001,27.950001,0,23.085351
2010-01-20,27.6,27.6,27.6,27.6,0,22.796267
2010-01-21,27.15,27.15,27.15,27.15,0,22.424588
2010-01-22,26.42,26.42,26.42,26.42,0,21.821644
2010-01-25,26.540001,26.540001,26.540001,26.540001,0,21.920759
2010-01-26,26.360001,26.360001,26.360001,26.360001,0,21.772087
2010-01-27,26.610001,26.610001,26.610001,26.610001,0,21.978575
2010-01-28,26.18,26.18,26.18,26.18,0,21.623416
2010-01-29,25.879999,25.879999,25.879999,25.879999,0,21.375629
2010-02-01,26.209999,26.209999,26.209999,26.209999,0,21.648193
2010-02-02,26.389999,26.389999,26.389999,26.389999,0,21.796865
2010-02-03,26.360001,26.360001,26.360001,26.360001,0,21.772087
2010-02-04,25.51,25.51,25.51,25.51,0,21.070028
2010-02-05,25.57,25.57,25.57,25.57,0,21.119585
2010-02-08,25.43,25.43,25.43,25.43,0,21.003952
2010-02-09,25.74,25.74,25.74,25.74,0,21.259996
2010-02-10,25.77,25.77,25.77,25.77,0,21.284776
2010-02-11,26.129999,26.129999,26.129999,26.129999,0,21.582117
2010-02-12,26.129999,26.129999,26.129999,26.129999,0,21.582117
2010-02-16,26.530001,26.530001,26.530001,26.530001,0,21.912499
2010-02-17,26.65,26.65,26.65,26.65,0,22.011612
2010-02-18,26.790001,26.790001,26.790001,26.790001,0,22.127247
2010-02-19,26.82,26.82,26.82,26.82,0,22.152024
2010-02-22,26.77,26.77,26.77,26.77,0,22.110727
2010-02-23,26.379999,26.379999,26.379999,26.379999,0,21.788605
2010-02-24,26.6,26.6,26.6,26.6,0,21.970315
2010-02-25,26.6,26.6,26.6,26.6,0,21.970315
2010-02-26,26.700001,26.700001,26.700001,26.700001,0,22.052911
2010-03-01,27.08,27.08,27.08,27.08,0,22.366772
2010-03-02,27.23,27.23,27.23,27.23,0,22.490664
2010-03-03,27.24,27.24,27.24,27.24,0,22.498924
2010-03-04,27.4,27.4,27.4,27.4,0,22.631076
2010-03-05,27.85,27.85,27.85,27.85,0,23.002755
2010-03-08,27.83,27.83,27.83,27.83,0,22.986236
2010-03-09,27.9,27.9,27.9,27.9,0,23.044052
2010-03-10,28.120001,28.120001,28.120001,28.120001,0,23.225762
2010-03-11,28.27,28.27,28.27,28.27,0,23.349655
2010-03-12,28.280001,28.280001,28.280001,28.280001,0,23.357915
2010-03-15,28.200001,28.200001,28.200001,28.200001,0,23.291838
2010-03-16,28.360001,28.360001,28.360001,28.360001,0,23.423991
2010-03-17,28.49,28.49,28.49,28.49,0,23.531364
2010-03-18,28.459999,28.459999,28.459999,28.459999,0,23.506584
2010-03-19,28.290001,28.290001,28.290001,28.290001,0,23.366174
2010-03-22,28.450001,28.450001,28.450001,28.450001,0,23.498326
2010-03-23,28.59,28.59,28.59,28.59,0,23.613959
2010-03-24,28.43,28.43,28.43,28.43,0,23.481807
2010-03-25,28.41,28.41,28.41,28.41,0,23.465288
2010-03-26,28.450001,28.450001,28.450001,28.450001,0,23.498326
2010-03-29,28.629999,28.629999,28.629999,28.629999,0,23.646996
2010-03-30,28.790001,28.790001,28.790001,28.790001,0,23.77915
2010-03-31,28.690001,28.690001,28.690001,28.690001,0,23.696555
2010-04-01,28.85,28.85,28.85,28.85,0,23.828707
2010-04-05,29.07,29.07,29.07,29.07,0,24.010416
2010-04-06,29.139999,29.139999,29.139999,29.139999,0,24.068232
2010-04-07,29,29,29,29,0,23.952599
2010-04-08,29.16,29.16,29.16,29.16,0,24.084751
2010-04-09,29.32,29.32,29.32,29.32,0,24.216903
2010-04-12,29.34,29.34,29.34,29.34,0,24.233423
2010-04-13,29.370001,29.370001,29.370001,29.370001,0,24.258202
2010-04-14,29.75,29.75,29.75,29.75,0,24.572063
2010-04-15,29.83,29.83,29.83,29.83,0,24.638139
2010-04-16,29.24,29.24,29.24,29.24,0,24.150827
2010-04-19,29.26,29.26,29.26,29.26,0,24.167347
2010-04-20,29.559999,29.559999,29.559999,29.559999,0,24.415132
2010-04-21,29.6,29.6,29.6,29.6,0,24.448171
2010-04-22,29.85,29.85,29.85,29.85,0,24.654658
2010-04-23,30.07,30.07,30.07,30.07,0,24.836367
2010-04-26,29.93,29.93,29.93,29.93,0,24.720734
2010-04-27,29.200001,29.200001,29.200001,29.200001,0,24.11779
2010-04-28,29.23,29.23,29.23,29.23,0,24.142568
2010-04-29,29.780001,29.780001,29.780001,29.780001,0,24.596842
2010-04-30,29.219999,29.219999,29.219999,29.219999,0,24.134308
2010-05-03,29.57,29.57,29.57,29.57,0,24.423391
2010-05-04,28.75,28.75,28.75,28.75,0,23.746111
2010-05-05,28.5,28.5,28.5,28.5,0,23.539623
2010-05-06,27.610001,27.610001,27.610001,27.610001,0,22.804527
2010-05-07,27,27,27,27,0,22.300696
2010-05-10,28.43,28.43,28.43,28.43,0,23.481807
2010-05-11,28.290001,28.290001,28.290001,28.290001,0,23.366174
2010-05-12,28.84,28.84,28.84,28.84,0,23.820447
2010-05-13,28.5,28.5,28.5,28.5,0,23.539623
2010-05-14,27.76,27.76,27.76,27.76,0,22.928419
2010-05-17,27.76,27.76,27.76,27.76,0,22.928419
2010-05-18,27.280001,27.280001,27.280001,27.280001,0,22.531963
2010-05-19,27.110001,27.110001,27.110001,27.110001,0,22.391551
2010-05-20,26.059999,26.059999,26.059999,26.059999,0,21.524301
2010-05-21,26.65,26.65,26.65,26.65,0,22.011612
2010-05-24,26.370001,26.370001,26.370001,26.370001,0,21.780347
2010-05-25,26.389999,26.389999,26.389999,26.389999,0,21.796865
2010-05-26,26.309999,26.309999,26.309999,26.309999,0,21.730789
2010-05-27,27.280001,27.280001,27.280001,27.280001,0,22.531963
2010-05-28,26.92,26.92,26.92,26.92,0,22.23462
2010-06-01,26.5,26.5,26.5,26.5,0,21.88772
2010-06-02,27.209999,27.209999,27.209999,27.209999,0,22.474145
2010-06-03,27.42,27.42,27.42,27.42,0,22.647596
2010-06-04,26.43,26.43,26.43,26.43,0,21.829904
2010-06-07,26.040001,26.040001,26.040001,26.040001,0,21.507783
2010-06-08,26.17,26.17,26.17,26.17,0,21.615156
2010-06-09,26.01,26.01,26.01,26.01,0,21.483004
2010-06-10,26.889999,26.889999,26.889999,26.889999,0,22.209841
2010-06-11,27.059999,27.059999,27.059999,27.059999,0,22.350252
2010-06-14,26.969999,26.969999,26.969999,26.969999,0,22.275917
2010-06-15,27.639999,27.639999,27.639999,27.639999,0,22.829304
2010-06-16,27.690001,27.690001,27.690001,27.690001,0,22.870603
2010-06-17,27.68,27.68,27.68,27.68,0,22.862343
2010-06-18,27.690001,27.690001,27.690001,27.690001,0,22.870603
2010-06-21,27.6,27.6,27.6,27.6,0,22.796267
2010-06-22,27.139999,27.139999,27.139999,27.139999,0,22.416329
2010-06-23,27.110001,27.110001,27.110001,27.110001,0,22.391551
2010-06-24,26.57,26.57,26.57,26.57,0,21.945536
2010-06-25,26.799999,26.799999,26.799999,26.799999,0,22.135505
2010-06-28,26.639999,26.639999,26.639999,26.639999,0,22.003353
2010-06-29,25.559999,25.559999,25.559999,25.559999,0,21.111325
2010-06-30,25.309999,25.309999,25.309999,25.309999,0,20.904837
2010-07-01,25.27,25.27,25.27,25.27,0,20.8718
2010-07-02,25.15,25.15,25.15,25.15,0,20.772685
2010-07-06,25.200001,25.200001,25.200001,25.200001,0,20.813983
2010-07-07,26.08,26.08,26.08,26.08,0,21.54082
2010-07-08,26.299999,26.299999,26.299999,26.299999,0,21.722529
2010-07-09,26.530001,26.530001,26.530001,26.530001,0,21.912499
2010-07-12,26.52,26.52,26.52,26.52,0,21.904239
2010-07-13,26.959999,26.959999,26.959999,26.959999,0,22.267657
2010-07-14,26.98,26.98,26.98,26.98,0,22.284176
2010-07-15,26.93,26.93,26.93,26.93,0,22.242879
2010-07-16,26.059999,26.059999,26.059999,26.059999,0,21.524301
2010-07-19,26.15,26.15,26.15,26.15,0,21.598637
2010-07-20,26.59,26.59,26.59,26.59,0,21.962056
2010-07-21,26.25,26.25,26.25,26.25,0,21.681232
2010-07-22,26.799999,26.799999,26.799999,26.799999,0,22.135505
2010-07-23,27.08,27.08,27.08,27.08,0,22.366772
2010-07-26,27.32,27.32,27.32,27.32,0,22.565
2010-07-27,27.23,27.23,27.23,27.23,0,22.490664
2010-07-28,27.030001,27.030001,27.030001,27.030001,0,22.325475
2010-07-29,26.950001,26.950001,26.950001,26.950001,0,22.259399
2010-07-30,27.02,27.02,27.02,27.02,0,22.317215
2010-08-02,27.549999,27.549999,27.549999,27.549999,0,22.754969
2010-08-03,27.41,27.41,27.41,27.41,0,22.639336
2010-08-04,27.709999,27.709999,27.709999,27.709999,0,22.887121
2010-08-05,27.66,27.66,27.66,27.66,0,22.845824
2010-08-06,27.540001,27.540001,27.540001,27.540001,0,22.74671
2010-08-09,27.77,27.77,27.77,27.77,0,22.936679
2010-08-10,27.6,27.6,27.6,27.6,0,22.796267
2010-08-11,26.709999,26.709999,26.709999,26.709999,0,22.061169
2010-08-12,26.6,26.6,26.6,26.6,0,21.970315
2010-08-13,26.42,26.42,26.42,26.42,0,21.821644
2010-08-16,26.48,26.48,26.48,26.48,0,21.871201
2010-08-17,26.879999,26.879999,26.879999,26.879999,0,22.201581
2010-08-18,26.9,26.9,26.9,26.9,0,22.2181
2010-08-19,26.41,26.41,26.41,26.41,0,21.813384
2010-08-20,26.370001,26.370001,26.370001,26.370001,0,21.780347
2010-08-23,26.17,26.17,26.17,26.17,0,21.615156
2010-08-24,25.65,25.65,25.65,25.65,0,21.185661
2010-08-25,25.809999,25.809999,25.809999,25.809999,0,21.317813
2010-08-26,25.59,25.59,25.59,25.59,0,21.136104
2010-08-27,26.07,26.07,26.07,26.07,0,21.53256
2010-08-30,25.66,25.66,25.66,25.66,0,21.19392
2010-08-31,25.6,25.6,25.6,25.6,0,21.144364
2010-09-01,26.450001,26.450001,26.450001,26.450001,0,21.846423
2010-09-02,26.790001,26.790001,26.790001,26.790001,0,22.127247
2010-09-03,27.219999,27.219999,27.219999,27.219999,0,22.482405
2010-09-07,26.93,26.93,26.93,26.93,0,22.242879
2010-09-08,27.17,27.17,27.17,27.17,0,22.441108
2010-09-09,27.209999,27.209999,27.209999,27.209999,0,22.474145
2010-09-10,27.32,27.32,27.32,27.32,0,22.565
2010-09-13,27.700001,27.700001,27.700001,27.700001,0,22.878863
2010-09-14,27.74,27.74,27.74,27.74,0,22.9119
2010-09-15,27.870001,27.870001,27.870001,27.870001,0,23.019274
2010-09-16,27.870001,27.870001,27.870001,27.870001,0,23.019274
2010-09-17,27.950001,27.950001,27.950001,27.950001,0,23.085351
2010-09-20,28.49,28.49,28.49,28.49,0,23.531364
2010-09-21,28.450001,28.450001,28.450001,28.450001,0,23.498326
2010-09-22,28.4,28.4,28.4,28.4,0,23.457028
2010-09-23,28.280001,28.280001,28.280001,28.280001,0,23.357915
2010-09-24,28.969999,28.969999,28.969999,28.969999,0,23.92782
