"Index","TRSGX.Open","TRSGX.High","TRSGX.Low","TRSGX.Close","TRSGX.Volume","TRSGX.Adjusted"
2010-01-04,20.5,20.5,20.5,20.5,0,15.684075
2010-01-05,20.57,20.57,20.57,20.57,0,15.73763
2010-01-06,20.59,20.59,20.59,20.59,0,15.752932
2010-01-07,20.620001,20.620001,20.620001,20.620001,0,15.775885
2010-01-08,20.719999,20.719999,20.719999,20.719999,0,15.852391
2010-01-11,20.75,20.75,20.75,20.75,0,15.875344
2010-01-12,20.549999,20.549999,20.549999,20.549999,0,15.722328
2010-01-13,20.700001,20.700001,20.700001,20.700001,0,15.837091
2010-01-14,20.75,20.75,20.75,20.75,0,15.875344
2010-01-15,20.559999,20.559999,20.559999,20.559999,0,15.729979
2010-01-19,20.75,20.75,20.75,20.75,0,15.875344
2010-01-20,20.530001,20.530001,20.530001,20.530001,0,15.707028
2010-01-21,20.24,20.24,20.24,20.24,0,15.485155
2010-01-22,19.84,19.84,19.84,19.84,0,15.179124
2010-01-25,19.92,19.92,19.92,19.92,0,15.24033
2010-01-26,19.809999,19.809999,19.809999,19.809999,0,15.156171
2010-01-27,19.860001,19.860001,19.860001,19.860001,0,15.194426
2010-01-28,19.66,19.66,19.66,19.66,0,15.04141
2010-01-29,19.49,19.49,19.49,19.49,0,14.911347
2010-02-01,19.74,19.74,19.74,19.74,0,15.102616
2010-02-02,19.940001,19.940001,19.940001,19.940001,0,15.255632
2010-02-03,19.84,19.84,19.84,19.84,0,15.179124
2010-02-04,19.290001,19.290001,19.290001,19.290001,0,14.758332
2010-02-05,19.27,19.27,19.27,19.27,0,14.743031
2010-02-08,19.139999,19.139999,19.139999,19.139999,0,14.64357
2010-02-09,19.370001,19.370001,19.370001,19.370001,0,14.819539
2010-02-10,19.34,19.34,19.34,19.34,0,14.796586
2010-02-11,19.52,19.52,19.52,19.52,0,14.9343
2010-02-12,19.5,19.5,19.5,19.5,0,14.918998
2010-02-16,19.799999,19.799999,19.799999,19.799999,0,15.14852
2010-02-17,19.860001,19.860001,19.860001,19.860001,0,15.194426
2010-02-18,19.950001,19.950001,19.950001,19.950001,0,15.263283
2010-02-19,19.969999,19.969999,19.969999,19.969999,0,15.278583
2010-02-22,19.98,19.98,19.98,19.98,0,15.286234
2010-02-23,19.75,19.75,19.75,19.75,0,15.110267
2010-02-24,19.889999,19.889999,19.889999,19.889999,0,15.217377
2010-02-25,19.860001,19.860001,19.860001,19.860001,0,15.194426
2010-02-26,19.91,19.91,19.91,19.91,0,15.232679
2010-03-01,20.120001,20.120001,20.120001,20.120001,0,15.393346
2010-03-02,20.209999,20.209999,20.209999,20.209999,0,15.462202
2010-03-03,20.26,20.26,20.26,20.26,0,15.500456
2010-03-04,20.299999,20.299999,20.299999,20.299999,0,15.531059
2010-03-05,20.58,20.58,20.58,20.58,0,15.745281
2010-03-08,20.6,20.6,20.6,20.6,0,15.760583
2010-03-09,20.620001,20.620001,20.620001,20.620001,0,15.775885
2010-03-10,20.73,20.73,20.73,20.73,0,15.860042
2010-03-11,20.799999,20.799999,20.799999,20.799999,0,15.913597
2010-03-12,20.82,20.82,20.82,20.82,0,15.928899
2010-03-15,20.77,20.77,20.77,20.77,0,15.890646
2010-03-16,20.940001,20.940001,20.940001,20.940001,0,16.020709
2010-03-17,21.07,21.07,21.07,21.07,0,16.120168
2010-03-18,21.01,21.01,21.01,21.01,0,16.074264
2010-03-19,20.889999,20.889999,20.889999,20.889999,0,15.982454
2010-03-22,20.98,20.98,20.98,20.98,0,16.051311
2010-03-23,21.09,21.09,21.09,21.09,0,16.13547
2010-03-24,20.950001,20.950001,20.950001,20.950001,0,16.02836
2010-03-25,20.91,20.91,20.91,20.91,0,15.997756
2010-03-26,20.959999,20.959999,20.959999,20.959999,0,16.036009
2010-03-29,21.09,21.09,21.09,21.09,0,16.13547
2010-03-30,21.120001,21.120001,21.120001,21.120001,0,16.158423
2010-03-31,21.09,21.09,21.09,21.09,0,16.13547
2010-04-01,21.25,21.25,21.25,21.25,0,16.257882
2010-04-05,21.4,21.4,21.4,21.4,0,16.372644
2010-04-06,21.459999,21.459999,21.459999,21.459999,0,16.418548
2010-04-07,21.389999,21.389999,21.389999,21.389999,0,16.364993
2010-04-08,21.459999,21.459999,21.459999,21.459999,0,16.418548
2010-04-09,21.6,21.6,21.6,21.6,0,16.52566
2010-04-12,21.639999,21.639999,21.639999,21.639999,0,16.556262
2010-04-13,21.639999,21.639999,21.639999,21.639999,0,16.556262
2010-04-14,21.91,21.91,21.91,21.91,0,16.762833
2010-04-15,21.940001,21.940001,21.940001,21.940001,0,16.785786
2010-04-16,21.59,21.59,21.59,21.59,0,16.518009
2010-04-19,21.59,21.59,21.59,21.59,0,16.518009
2010-04-20,21.780001,21.780001,21.780001,21.780001,0,16.663374
2010-04-21,21.77,21.77,21.77,21.77,0,16.655723
2010-04-22,21.84,21.84,21.84,21.84,0,16.709278
2010-04-23,22,22,22,22,0,16.83169
2010-04-26,21.93,21.93,21.93,21.93,0,16.778135
2010-04-27,21.459999,21.459999,21.459999,21.459999,0,16.418548
2010-04-28,21.51,21.51,21.51,21.51,0,16.456802
2010-04-29,21.809999,21.809999,21.809999,21.809999,0,16.686325
2010-04-30,21.5,21.5,21.5,21.5,0,16.449152
2010-05-03,21.709999,21.709999,21.709999,21.709999,0,16.609817
2010-05-04,21.190001,21.190001,21.190001,21.190001,0,16.211978
2010-05-05,21,21,21,21,0,16.066613
2010-05-06,20.4,20.4,20.4,20.4,0,15.607567
2010-05-07,20.049999,20.049999,20.049999,20.049999,0,15.33979
2010-05-10,20.889999,20.889999,20.889999,20.889999,0,15.982454
2010-05-11,20.82,20.82,20.82,20.82,0,15.928899
2010-05-12,21.120001,21.120001,21.120001,21.120001,0,16.158423
2010-05-13,20.92,20.92,20.92,20.92,0,16.005407
2010-05-14,20.52,20.52,20.52,20.52,0,15.699377
2010-05-17,20.51,20.51,20.51,20.51,0,15.691726
2010-05-18,20.219999,20.219999,20.219999,20.219999,0,15.469853
2010-05-19,20.120001,20.120001,20.120001,20.120001,0,15.393346
2010-05-20,19.450001,19.450001,19.450001,19.450001,0,14.880745
2010-05-21,19.74,19.74,19.74,19.74,0,15.102616
2010-05-24,19.52,19.52,19.52,19.52,0,14.9343
2010-05-25,19.49,19.49,19.49,19.49,0,14.911347
2010-05-26,19.450001,19.450001,19.450001,19.450001,0,14.880745
2010-05-27,20.09,20.09,20.09,20.09,0,15.370393
2010-05-28,19.870001,19.870001,19.870001,19.870001,0,15.202077
2010-06-01,19.57,19.57,19.57,19.57,0,14.972553
2010-06-02,20,20,20,20,0,15.301536
2010-06-03,20.08,20.08,20.08,20.08,0,15.362742
2010-06-04,19.469999,19.469999,19.469999,19.469999,0,14.896045
2010-06-07,19.209999,19.209999,19.209999,19.209999,0,14.697125
2010-06-08,19.32,19.32,19.32,19.32,0,14.781284
2010-06-09,19.23,19.23,19.23,19.23,0,14.712427
2010-06-10,19.780001,19.780001,19.780001,19.780001,0,15.13322
2010-06-11,19.870001,19.870001,19.870001,19.870001,0,15.202077
2010-06-14,19.879999,19.879999,19.879999,19.879999,0,15.209726
2010-06-15,20.309999,20.309999,20.309999,20.309999,0,15.53871
2010-06-16,20.299999,20.299999,20.299999,20.299999,0,15.531059
2010-06-17,20.32,20.32,20.32,20.32,0,15.546361
2010-06-18,20.33,20.33,20.33,20.33,0,15.554012
2010-06-21,20.299999,20.299999,20.299999,20.299999,0,15.531059
2010-06-22,20.02,20.02,20.02,20.02,0,15.316838
2010-06-23,20.01,20.01,20.01,20.01,0,15.309187
2010-06-24,19.690001,19.690001,19.690001,19.690001,0,15.064363
2010-06-25,19.809999,19.809999,19.809999,19.809999,0,15.156171
2010-06-28,19.76,19.76,19.76,19.76,0,15.117918
2010-06-29,19.16,19.16,19.16,19.16,0,14.658872
2010-06-30,19.02,19.02,19.02,19.02,0,14.551761
2010-07-01,18.99,18.99,18.99,18.99,0,14.528809
2010-07-02,18.93,18.93,18.93,18.93,0,14.482904
2010-07-06,19.030001,19.030001,19.030001,19.030001,0,14.559412
2010-07-07,19.549999,19.549999,19.549999,19.549999,0,14.957251
2010-07-08,19.690001,19.690001,19.690001,19.690001,0,15.064363
2010-07-09,19.84,19.84,19.84,19.84,0,15.179124
2010-07-12,19.83,19.83,19.83,19.83,0,15.171473
2010-07-13,20.139999,20.139999,20.139999,20.139999,0,15.408647
2010-07-14,20.129999,20.129999,20.129999,20.129999,0,15.400996
2010-07-15,20.15,20.15,20.15,20.15,0,15.416298
2010-07-16,19.620001,19.620001,19.620001,19.620001,0,15.010808
