"Index","VGSTX.Open","VGSTX.High","VGSTX.Low","VGSTX.Close","VGSTX.Volume","VGSTX.Adjusted"
2010-01-04,17.75,17.75,17.75,17.75,0,13.864088
2010-01-05,17.809999,17.809999,17.809999,17.809999,0,13.910952
2010-01-06,17.809999,17.809999,17.809999,17.809999,0,13.910952
2010-01-07,17.84,17.84,17.84,17.84,0,13.934385
2010-01-08,17.9,17.9,17.9,17.9,0,13.981249
2010-01-11,17.91,17.91,17.91,17.91,0,13.98906
2010-01-12,17.83,17.83,17.83,17.83,0,13.926574
2010-01-13,17.91,17.91,17.91,17.91,0,13.98906
2010-01-14,17.99,17.99,17.99,17.99,0,14.051546
2010-01-15,17.870001,17.870001,17.870001,17.870001,0,13.957817
2010-01-19,18,18,18,18,0,14.059356
2010-01-20,17.870001,17.870001,17.870001,17.870001,0,13.957817
2010-01-21,17.67,17.67,17.67,17.67,0,13.801602
2010-01-22,17.41,17.41,17.41,17.41,0,13.598522
2010-01-25,17.459999,17.459999,17.459999,17.459999,0,13.637575
2010-01-26,17.4,17.4,17.4,17.4,0,13.590711
2010-01-27,17.43,17.43,17.43,17.43,0,13.614144
2010-01-28,17.280001,17.280001,17.280001,17.280001,0,13.496983
2010-01-29,17.190001,17.190001,17.190001,17.190001,0,13.426686
2010-02-01,17.33,17.33,17.33,17.33,0,13.536036
2010-02-02,17.48,17.48,17.48,17.48,0,13.653197
2010-02-03,17.41,17.41,17.41,17.41,0,13.598522
2010-02-04,17.08,17.08,17.08,17.08,0,13.340767
2010-02-05,17.059999,17.059999,17.059999,17.059999,0,13.325145
2010-02-08,16.969999,16.969999,16.969999,16.969999,0,13.254848
2010-02-09,17.110001,17.110001,17.110001,17.110001,0,13.3642
2010-02-10,17.059999,17.059999,17.059999,17.059999,0,13.325145
2010-02-11,17.16,17.16,17.16,17.16,0,13.403253
2010-02-12,17.16,17.16,17.16,17.16,0,13.403253
2010-02-16,17.35,17.35,17.35,17.35,0,13.551658
2010-02-17,17.379999,17.379999,17.379999,17.379999,0,13.575089
2010-02-18,17.440001,17.440001,17.440001,17.440001,0,13.621955
2010-02-19,17.459999,17.459999,17.459999,17.459999,0,13.637575
2010-02-22,17.459999,17.459999,17.459999,17.459999,0,13.637575
2010-02-23,17.35,17.35,17.35,17.35,0,13.551658
2010-02-24,17.440001,17.440001,17.440001,17.440001,0,13.621955
2010-02-25,17.43,17.43,17.43,17.43,0,13.614144
2010-02-26,17.48,17.48,17.48,17.48,0,13.653197
2010-03-01,17.610001,17.610001,17.610001,17.610001,0,13.754738
2010-03-02,17.66,17.66,17.66,17.66,0,13.793791
2010-03-03,17.690001,17.690001,17.690001,17.690001,0,13.817224
2010-03-04,17.73,17.73,17.73,17.73,0,13.848466
2010-03-05,17.879999,17.879999,17.879999,17.879999,0,13.965627
2010-03-08,17.879999,17.879999,17.879999,17.879999,0,13.965627
2010-03-09,17.9,17.9,17.9,17.9,0,13.981249
2010-03-10,17.959999,17.959999,17.959999,17.959999,0,14.028113
2010-03-11,18,18,18,18,0,14.059356
2010-03-12,18.030001,18.030001,18.030001,18.030001,0,14.082789
2010-03-15,18.01,18.01,18.01,18.01,0,14.067167
2010-03-16,18.129999,18.129999,18.129999,18.129999,0,14.160896
2010-03-17,18.200001,18.200001,18.200001,18.200001,0,14.215572
2010-03-18,18.17,18.17,18.17,18.17,0,14.192139
2010-03-19,18.1,18.1,18.1,18.1,0,14.137464
2010-03-22,18.16,18.16,18.16,18.16,0,14.184328
2010-03-23,18.25,18.25,18.25,18.25,0,14.254625
