Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,5.450000,5.450000,5.450000,5.450000,5.450000,0
2005-01-04,5.320000,5.320000,5.320000,5.320000,5.320000,0
2005-01-05,5.260000,5.260000,5.260000,5.260000,5.260000,0
2005-01-06,5.230000,5.230000,5.230000,5.230000,5.230000,0
2005-01-07,5.240000,5.240000,5.240000,5.240000,5.240000,0
2005-01-10,5.250000,5.250000,5.250000,5.250000,5.250000,0
2005-01-11,5.200000,5.200000,5.200000,5.200000,5.200000,0
2005-01-12,5.210000,5.210000,5.210000,5.210000,5.210000,0
2005-01-13,5.190000,5.190000,5.190000,5.190000,5.190000,0
2005-01-14,5.260000,5.260000,5.260000,5.260000,5.260000,0
2005-01-18,5.300000,5.300000,5.300000,5.300000,5.300000,0
2005-01-19,5.210000,5.210000,5.210000,5.210000,5.210000,0
2005-01-20,5.130000,5.130000,5.130000,5.130000,5.130000,0
2005-01-21,5.100000,5.100000,5.100000,5.100000,5.100000,0
2005-01-24,5.040000,5.040000,5.040000,5.040000,5.040000,0
2005-01-25,5.070000,5.070000,5.070000,5.070000,5.070000,0
2005-01-26,5.150000,5.150000,5.150000,5.150000,5.150000,0
2005-01-27,5.160000,5.160000,5.160000,5.160000,5.160000,0
2005-01-28,5.130000,5.130000,5.130000,5.130000,5.130000,0
2005-01-31,5.210000,5.210000,5.210000,5.210000,5.210000,0
2005-02-01,5.230000,5.230000,5.230000,5.230000,5.230000,0
2005-02-02,5.260000,5.260000,5.260000,5.260000,5.260000,0
2005-02-03,5.230000,5.230000,5.230000,5.230000,5.230000,0
2005-02-04,5.320000,5.320000,5.320000,5.320000,5.320000,0
2005-02-07,5.310000,5.310000,5.310000,5.310000,5.310000,0
2005-02-08,5.330000,5.330000,5.330000,5.330000,5.330000,0
2005-02-09,5.250000,5.250000,5.250000,5.250000,5.250000,0
2005-02-10,5.240000,5.240000,5.240000,5.240000,5.240000,0
2005-02-11,5.300000,5.300000,5.300000,5.300000,5.300000,0
2005-02-14,5.330000,5.330000,5.330000,5.330000,5.330000,0
2005-02-15,5.360000,5.360000,5.360000,5.360000,5.360000,0
2005-02-16,5.350000,5.350000,5.350000,5.350000,5.350000,0
2005-02-17,5.270000,5.270000,5.270000,5.270000,5.270000,0
2005-02-18,5.270000,5.270000,5.270000,5.270000,5.270000,0
2005-02-22,5.230000,5.230000,5.230000,5.230000,5.230000,0
2005-02-23,5.220000,5.220000,5.220000,5.220000,5.220000,0
2005-02-24,5.290000,5.290000,5.290000,5.290000,5.290000,0
2005-02-25,5.320000,5.320000,5.320000,5.320000,5.320000,0
